name,subtypes,phone,website,address,street,city,county,state,postal_code,latitude,longitude,rating,reviews,reviews_link,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photo,street_view,logo,business_status,working_hours,range,prices,booking_appointment_link,menu_link,about,description,verified,location_link,location_reviews_link,place_id,cid,reviews_id,slug,comunidad_autonoma,email,destacado,activo,prestaciones,descripcion,servicios,facilidades,accesibilidad
Arco Iris Pets Madrid - Cremación de mascotas,,+34 919 93 36 46,https://arcoirispets.com/cremacion-mascotas-madrid,"C. de los Madrazo, 12, Centro, 28014 Madrid","C. de los Madrazo, 12",Madrid,Centro,Madrid,28014,40.4174732,-3.6976396,5,1,https://search.google.com/local/reviews?placeid=ChIJJxepiBcpQg0REHUOdEE3xVo&q=*&authuser=0&hl=es&gl=ES,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}",0,0,0,0,1,https://lh3.googleusercontent.com/p/AF1QipMgVaucdE9TkmisigWUp1ddau6tAPjvbYZsJxX-=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMgVaucdE9TkmisigWUp1ddau6tAPjvbYZsJxX-=w1600-h1000-k-no,https://lh5.googleusercontent.com/-FDVnZiejaGs/AAAAAAAAAAI/AAAAAAAAAAA/r7oBy3Um3VA/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,"{""Opciones de servicio"": {""Ofrece asistencia en otros idiomas"": true}, ""Clientela"": {""Amigable con la comunidad LGTBI+"": true, ""Espacio seguro para personas transgénero"": true}, ""Other"": {""Amigable con la comunidad LGTBI+"": true}}",,1,"https://www.google.com/maps/place/Arco+Iris+Pets+Madrid+-+Cremaci%C3%B3n+de+mascotas/@40.417473199999996,-3.6976396,14z/data=!4m8!1m2!2m1!1sArco+Iris+Pets+Madrid+-+Cremaci%C3%B3n+de+mascotas!3m4!1s0xd42291788a91727:0x5ac53741740e7510!8m2!3d40.417473199999996!4d-3.6976396","https://www.google.com/maps/place/Arco+Iris+Pets+Madrid+-+Cremaci%C3%B3n+de+mascotas/@40.417473199999996,-3.6976396,13.99z/data=!4m16!1m7!3m6!1s0xd42291788a91727:0x5ac53741740e7510!2sArco+Iris+Pets+Madrid+-+Cremaci%C3%B3n+de+mascotas!8m2!3d40.417473199999996!4d-3.6976396!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd42291788a91727:0x5ac53741740e7510!8m2!3d40.417473199999996!4d-3.6976396!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJJxepiBcpQg0REHUOdEE3xVo,"6,54E+18","6,54E+18",arco-iris-pets-madrid--cremacion-de-mascotas,Comunidad de Madrid,,0,1,"Opciones de servicio: Ofrece asistencia en otros idiomas: Sí, Clientela: Amigable con la comunidad LGTBI+: Sí, Espacio seguro para personas transgénero: Sí, Other: Amigable con la comunidad LGTBI+: Sí",,,,
Crematorio Sur (SFM),Servicio de cremación,+34 915 10 83 05,https://sfmadrid.es/crematorio/crematorio-sur,"C. Ildefonso González Valencia, 3, Carabanchel, 28054 Madrid","C. Ildefonso González Valencia, 3",Madrid,Carabanchel,Madrid,28054,40.3672525,-3.7312424,3,29,https://search.google.com/local/reviews?placeid=ChIJF2FwJHcnQg0RSUaKpIPjiGQ&q=*&authuser=0&hl=es&gl=ES,"{""1"": 10, ""2"": 5, ""3"": 0, ""4"": 4, ""5"": 10}",10,5,0,4,10,https://lh3.googleusercontent.com/p/AF1QipM7CZ0K2iRFRGn3Tnj8Trf2T8k1wEW7qnyE_j1w=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipM7CZ0K2iRFRGn3Tnj8Trf2T8k1wEW7qnyE_j1w=w1600-h1000-k-no,https://lh3.googleusercontent.com/-lnu2eIwCzlA/AAAAAAAAAAI/AAAAAAAAAAA/tKycqD1yp9k/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""9:00-18:00"", ""martes"": ""9:00-18:00"", ""miércoles"": ""9:00-18:00"", ""jueves"": ""9:00-18:00"", ""viernes"": ""9:00-18:00"", ""sábado"": ""9:00-18:00"", ""domingo"": ""9:00-18:00""}",,,https://sfmadrid.es/crematorio/crematorio-sur,,"{""Accesibilidad"": {""Acceso para sillas de ruedas"": true, ""Aparcamiento adaptado para sillas de ruedas"": true, ""Aseo adaptado para sillas de ruedas"": true}}",,1,"https://www.google.com/maps/place/Crematorio+Sur+%28SFM%29/@40.3672525,-3.7312423999999997,14z/data=!4m8!1m2!2m1!1sCrematorio+Sur+%28SFM%29!3m4!1s0xd42277724706117:0x6488e383a48a4649!8m2!3d40.3672525!4d-3.7312423999999997","https://www.google.com/maps/place/Crematorio+Sur+%28SFM%29/@40.3672525,-3.7312423999999997,13.99z/data=!4m16!1m7!3m6!1s0xd42277724706117:0x6488e383a48a4649!2sCrematorio+Sur+%28SFM%29!8m2!3d40.3672525!4d-3.7312423999999997!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd42277724706117:0x6488e383a48a4649!8m2!3d40.3672525!4d-3.7312423999999997!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJF2FwJHcnQg0RSUaKpIPjiGQ,"7,24E+18","7,24E+18",crematorio-sur-sfm,Comunidad de Madrid,,0,1,"Accesibilidad: Acceso para sillas de ruedas: Sí, Aparcamiento adaptado para sillas de ruedas: Sí, Aseo adaptado para sillas de ruedas: Sí",,,,
Fune Mascotas Madrid Centro - Incinerar mascotas,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-madrid-centro/,"C. de Esparteros, 5, Centro, 28012 Madrid","C. de Esparteros, 5",Madrid,Centro,Madrid,28012,40.4160168,-3.705059,4.9,30,https://search.google.com/local/reviews?placeid=ChIJtXQm8dwpQg0RXs3I2x7XEMk&q=*&authuser=0&hl=es&gl=ES,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 28}",0,0,0,2,28,https://lh3.googleusercontent.com/p/AF1QipNDxFfyr4K1AXnz8l4DaCfdVBVPCLcH3aO_7t4P=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNDxFfyr4K1AXnz8l4DaCfdVBVPCLcH3aO_7t4P=w1600-h1000-k-no,https://lh5.googleusercontent.com/-59z6wtprC-I/AAAAAAAAAAI/AAAAAAAAAAA/Jc04ScEjYXs/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+Madrid+Centro+-+Incinerar+mascotas/@40.4160168,-3.705059,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+Madrid+Centro+-+Incinerar+mascotas!3m4!1s0xd4229dcf12674b5:0xc910d71edbc8cd5e!8m2!3d40.4160168!4d-3.705059","https://www.google.com/maps/place/Fune+Mascotas+Madrid+Centro+-+Incinerar+mascotas/@40.4160168,-3.705059,13.99z/data=!4m16!1m7!3m6!1s0xd4229dcf12674b5:0xc910d71edbc8cd5e!2sFune+Mascotas+Madrid+Centro+-+Incinerar+mascotas!8m2!3d40.4160168!4d-3.705059!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd4229dcf12674b5:0xc910d71edbc8cd5e!8m2!3d40.4160168!4d-3.705059!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJtXQm8dwpQg0RXs3I2x7XEMk,"1,45E+19","-3,96E+18",fune-mascotas-madrid-centro--incinerar-mascotas,Comunidad de Madrid,,0,1,,,,,
Interfunerarias Servicio de Cremación Madrid,Servicio de cremación,+34 919 49 44 06,https://interfunerarias.es/madrid/cremacion-en-madrid/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_content%3Dgmb%26utm_campaign%3Dcremacion_madrid%26dlg%3Dcaog4W,"C. de los Comuneros de Castilla, 15, Planta Baja, Carabanchel, 28019 Madrid","C. de los Comuneros de Castilla, 15, Planta Baja",Madrid,Carabanchel,Madrid,28019,40.3973563,-3.7225363,4.9,391,https://search.google.com/local/reviews?placeid=ChIJrzdluGAnQg0RjpJUN2RaRCg&q=*&authuser=0&hl=es&gl=ES,"{""1"": 4, ""2"": 1, ""3"": 2, ""4"": 32, ""5"": 352}",4,1,2,32,352,https://lh3.googleusercontent.com/p/AF1QipPw1BrfSUVYrnZPAE-M1TEbWXfdX7XsgcSHLcAJ=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPw1BrfSUVYrnZPAE-M1TEbWXfdX7XsgcSHLcAJ=w1600-h1000-k-no,https://lh3.googleusercontent.com/-ofzVWoYCJJ0/AAAAAAAAAAI/AAAAAAAAAAA/y_dV1LGBlNQ/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,"{""Opciones de servicio"": {""Ofrece asistencia en otros idiomas"": true}, ""Accesibilidad"": {""Acceso para sillas de ruedas"": true}, ""Aparcamiento"": {""Aparcamiento de pago"": true, ""Parking de pago"": true}}",,1,"https://www.google.com/maps/place/Interfunerarias+Servicio+de+Cremaci%C3%B3n+Madrid/@40.3973563,-3.7225363,14z/data=!4m8!1m2!2m1!1sInterfunerarias+Servicio+de+Cremaci%C3%B3n+Madrid!3m4!1s0xd422760b86537af:0x28445a643754928e!8m2!3d40.3973563!4d-3.7225363","https://www.google.com/maps/place/Interfunerarias+Servicio+de+Cremaci%C3%B3n+Madrid/@40.3973563,-3.7225363,13.99z/data=!4m16!1m7!3m6!1s0xd422760b86537af:0x28445a643754928e!2sInterfunerarias+Servicio+de+Cremaci%C3%B3n+Madrid!8m2!3d40.3973563!4d-3.7225363!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd422760b86537af:0x28445a643754928e!8m2!3d40.3973563!4d-3.7225363!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJrzdluGAnQg0RjpJUN2RaRCg,"2,90E+18","2,90E+18",interfunerarias-servicio-de-cremacion-madrid,Comunidad de Madrid,,0,1,"Opciones de servicio: Ofrece asistencia en otros idiomas: Sí, Accesibilidad: Acceso para sillas de ruedas: Sí, Aparcamiento: Aparcamiento de pago: Sí, Parking de pago: Sí",,,,
Fune Mascotas Moncloa-Aravaca,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-moncloaravaca/,"C. de Aniceto Marinas, 108, Moncloa - Aravaca, 28008 Madrid","C. de Aniceto Marinas, 108",Madrid,Moncloa - Aravaca,Madrid,28008,40.4314152,-3.7337901,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=coGH3ryQBqlZwADVLMHTZw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=70.603714&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/p/AF1QipPCff0cN68F4tuNNWCC3P6_szbsU3ux8XVud-DP=w1600-h1000-k-no,https://lh3.googleusercontent.com/-634DSKmWgo0/AAAAAAAAAAI/AAAAAAAAAAA/Odtft7hPFQQ/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+Moncloa-Aravaca/@40.431415199999996,-3.7337901,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+Moncloa-Aravaca!3m4!1s0xd42291d4f480cc5:0xb2825ded9f8cfd22!8m2!3d40.431415199999996!4d-3.7337901","https://www.google.com/maps/place/Fune+Mascotas+Moncloa-Aravaca/@40.431415199999996,-3.7337901,13.99z/data=!4m16!1m7!3m6!1s0xd42291d4f480cc5:0xb2825ded9f8cfd22!2sFune+Mascotas+Moncloa-Aravaca!8m2!3d40.431415199999996!4d-3.7337901!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd42291d4f480cc5:0xb2825ded9f8cfd22!8m2!3d40.431415199999996!4d-3.7337901!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJxQxITx0pQg0RIv2Mn-1dgrI,"1,29E+19",,fune-mascotas-moncloa-aravaca,Comunidad de Madrid,,0,1,,,,,
Fune Mascotas Fuencarral-El Pardo,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-fuencarralpardo/,"C/ del Mirador de la Reina, 44, Fuencarral-El Pardo, 28035 Madrid","C/ del Mirador de la Reina, 44",Madrid,Fuencarral-El Pardo,Madrid,28035,40.4904205,-3.719209,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tDMvVbIkBa8LoPGUE3geAw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=178.21967&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/p/AF1QipNqWcTydl5u9N43G8OxsKcrYndTISZOQuddQncc=w1600-h1000-k-no,https://lh6.googleusercontent.com/-LLjeHX542BI/AAAAAAAAAAI/AAAAAAAAAAA/Dvd5Oiqjuww/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+Fuencarral-El+Pardo/@40.4904205,-3.7192089999999998,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+Fuencarral-El+Pardo!3m4!1s0xd422950d89b06eb:0x23c38f7447393d30!8m2!3d40.4904205!4d-3.7192089999999998","https://www.google.com/maps/place/Fune+Mascotas+Fuencarral-El+Pardo/@40.4904205,-3.7192089999999998,13.99z/data=!4m16!1m7!3m6!1s0xd422950d89b06eb:0x23c38f7447393d30!2sFune+Mascotas+Fuencarral-El+Pardo!8m2!3d40.4904205!4d-3.7192089999999998!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd422950d89b06eb:0x23c38f7447393d30!8m2!3d40.4904205!4d-3.7192089999999998!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ6wab2FApQg0RMD05R3SPwyM,"2,58E+18",,fune-mascotas-fuencarral-el-pardo,Comunidad de Madrid,,0,1,,,,,
Fune Mascotas Chamartín,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-chamartin/,"C. de Sta. Magdalena Sofía, 1, Chamartín, 28036 Madrid","C. de Sta. Magdalena Sofía, 1",Madrid,Chamartín,Madrid,28036,40.4689125,-3.6765941,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mI00Qr1wbltBz9L2ywjmlQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=25.585287&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/p/AF1QipNcHIjvsAQxk3LiSqGiJ7egHxILDkTxxxoegrmz=w1600-h1000-k-no,https://lh6.googleusercontent.com/-rYpPSRA19xg/AAAAAAAAAAI/AAAAAAAAAAA/k3qysPVMJUg/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+Chamart%C3%ADn/@40.468912499999995,-3.6765941,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+Chamart%C3%ADn!3m4!1s0xd422930062a40db:0xadffd9246abadaef!8m2!3d40.468912499999995!4d-3.6765941","https://www.google.com/maps/place/Fune+Mascotas+Chamart%C3%ADn/@40.468912499999995,-3.6765941,13.99z/data=!4m16!1m7!3m6!1s0xd422930062a40db:0xadffd9246abadaef!2sFune+Mascotas+Chamart%C3%ADn!8m2!3d40.468912499999995!4d-3.6765941!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd422930062a40db:0xadffd9246abadaef!8m2!3d40.468912499999995!4d-3.6765941!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ20AqBjApQg0R79q6aiTZ_60,"1,25E+19",,fune-mascotas-chamartin,Comunidad de Madrid,,0,1,,,,,
Crematorio de mascotas - CREMASCOTA s.l.,"Servicio de cremación, Planta incineradora, Cementerio de mascotas, Veterinario",+34 916 44 18 77,https://www.cremascota.com/,"Polígono Industrial Urtinsa, C. Químicas, 19, 28923 Alcorcón, Madrid","Polígono Industrial Urtinsa, C. Químicas, 19",Alcorcón,,Madrid,28923,40.3366595,-3.8166071,4.9,771,https://search.google.com/local/reviews?placeid=ChIJvbDESVCJQQ0R8TXv62heMSM&q=*&authuser=0&hl=es&gl=ES,"{""1"": 7, ""2"": 3, ""3"": 1, ""4"": 8, ""5"": 752}",7,3,1,8,752,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-gNE2sE5ih_NAK4UMIQ1a5j5XFIhOfJnaifjJFlYnV5Zit2Zt6vDbzP6BE1Yrhvvl0Yi7duSZZChrPhwCFh5Fzoo_L7kupjhp7ghzOp61OjgRl7-yq9RY1_a5Tg05Dx-85833F3NC6D9U=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-gNE2sE5ih_NAK4UMIQ1a5j5XFIhOfJnaifjJFlYnV5Zit2Zt6vDbzP6BE1Yrhvvl0Yi7duSZZChrPhwCFh5Fzoo_L7kupjhp7ghzOp61OjgRl7-yq9RY1_a5Tg05Dx-85833F3NC6D9U=w1600-h1000-k-no,https://lh5.googleusercontent.com/-5DH1qqvDHEE/AAAAAAAAAAI/AAAAAAAAAAA/L0ZKNSi-CgY/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,https://www.cremascota.com/contacto/,,"{""Accesibilidad"": {""Acceso para sillas de ruedas"": true, ""Aparcamiento adaptado para sillas de ruedas"": true}, ""Aparcamiento"": {""Aparcamiento en la calle gratuito"": true}}",,1,"https://www.google.com/maps/place/Crematorio+de+mascotas+-+CREMASCOTA+s.l./@40.336659499999996,-3.8166070999999997,14z/data=!4m8!1m2!2m1!1sCrematorio+de+mascotas+-+CREMASCOTA+s.l.!3m4!1s0xd41895049c4b0bd:0x23315e68ebef35f1!8m2!3d40.336659499999996!4d-3.8166070999999997","https://www.google.com/maps/place/Crematorio+de+mascotas+-+CREMASCOTA+s.l./@40.336659499999996,-3.8166070999999997,13.99z/data=!4m16!1m7!3m6!1s0xd41895049c4b0bd:0x23315e68ebef35f1!2sCrematorio+de+mascotas+-+CREMASCOTA+s.l.!8m2!3d40.336659499999996!4d-3.8166070999999997!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd41895049c4b0bd:0x23315e68ebef35f1!8m2!3d40.336659499999996!4d-3.8166070999999997!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJvbDESVCJQQ0R8TXv62heMSM,"2,54E+18","2,54E+18",crematorio-de-mascotas--cremascota-sl,Comunidad de Madrid,,0,1,"Accesibilidad: Acceso para sillas de ruedas: Sí, Aparcamiento adaptado para sillas de ruedas: Sí, Aparcamiento: Aparcamiento en la calle gratuito: Sí",,,,
Fune Mascotas El Retiro,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-el-retiro/,"C. de Máiquez, 76, Retiro, 28009 Madrid","C. de Máiquez, 76",Madrid,Retiro,Madrid,28009,40.4163377,-3.6733637,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LhtEz42aVR0p6BorWF6-fw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=246.7498&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/p/AF1QipP6UU8NI1mBj4l6ecMMN9BhN-KhjTcYlQGwhhee=w1600-h1000-k-no,https://lh3.googleusercontent.com/-ljupo6zELbk/AAAAAAAAAAI/AAAAAAAAAAA/YifMPM3yBeo/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+El+Retiro/@40.4163377,-3.6733637,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+El+Retiro!3m4!1s0xd42297dacb3c301:0xc05e4b6d400297ff!8m2!3d40.4163377!4d-3.6733637","https://www.google.com/maps/place/Fune+Mascotas+El+Retiro/@40.4163377,-3.6733637,13.99z/data=!4m16!1m7!3m6!1s0xd42297dacb3c301:0xc05e4b6d400297ff!2sFune+Mascotas+El+Retiro!8m2!3d40.4163377!4d-3.6733637!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd42297dacb3c301:0xc05e4b6d400297ff!8m2!3d40.4163377!4d-3.6733637!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJAcOzrH0pQg0R_5cCQG1LXsA,"1,39E+19",,fune-mascotas-el-retiro,Comunidad de Madrid,,0,1,,,,,
Fune Mascotas Arganzuela,,+34 919 93 12 27,https://funemascotas.com/madrid/incineracion-mascotas-arganzuela/,"P.º de la Esperanza, 41, Arganzuela, 28005 Madrid","P.º de la Esperanza, 41",Madrid,Arganzuela,Madrid,28005,40.399408,-3.7031098,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xaRE6rY9Af-K-UY07qNH-w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=50.772934&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/p/AF1QipOzEdYecUuCI_M5wBEFt1DMJAoL2aHg7FIaohY=w1600-h1000-k-no,https://lh5.googleusercontent.com/-Y7WRlmr3pWY/AAAAAAAAAAI/AAAAAAAAAAA/c-FympM7x5k/s44-p-k-no-ns-nd/photo.jpg,OPERATIONAL,"{""lunes"": ""Abierto 24 horas"", ""martes"": ""Abierto 24 horas"", ""miércoles"": ""Abierto 24 horas"", ""jueves"": ""Abierto 24 horas"", ""viernes"": ""Abierto 24 horas"", ""sábado"": ""Abierto 24 horas"", ""domingo"": ""Abierto 24 horas""}",,,,,,,1,"https://www.google.com/maps/place/Fune+Mascotas+Arganzuela/@40.399408,-3.7031098,14z/data=!4m8!1m2!2m1!1sFune+Mascotas+Arganzuela!3m4!1s0xd4227af1b965eff:0x33a2239da2178a0a!8m2!3d40.399408!4d-3.7031098","https://www.google.com/maps/place/Fune+Mascotas+Arganzuela/@40.399408,-3.7031098,13.99z/data=!4m16!1m7!3m6!1s0xd4227af1b965eff:0x33a2239da2178a0a!2sFune+Mascotas+Arganzuela!8m2!3d40.399408!4d-3.7031098!16s%2Fg%2F11ckvg1dmb!3m7!1s0xd4227af1b965eff:0x33a2239da2178a0a!8m2!3d40.399408!4d-3.7031098!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ_16WG68nQg0RCooXop0jojM,"3,72E+18",,fune-mascotas-arganzuela,Comunidad de Madrid,,0,1,,,,,
